dataset,model,fault_type,corruption_rate,n_warm,AUC,correlation,conditional_mean_gap,frac_missing_ids,frac_duplicate_ids,frac_unmatched_ids,identity_mismatch_rate,irt_warm_auc,detected,fired_signals,detection_rule
XES3G5M,dkt,F3_pred_shift,1.0,1317291,0.669404,0.242923,0.170539,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F4_within_learner_shuffle,1.0,1331318,0.578229,0.108322,0.074934,0.0,3e-06,0.0,0.0,0.656095,True,collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F5_row_index_mismatch,1.0,1331318,0.5082,0.008285,0.005742,0.0,3e-06,0.0,0.0,0.656095,True,near_random_auc|collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F6_partial_mismatch,0.01,1331318,0.661121,0.234609,0.167143,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F6_partial_mismatch,0.05,1331318,0.654711,0.225315,0.160423,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F6_partial_mismatch,0.1,1331318,0.647232,0.214081,0.152247,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F6_partial_mismatch,0.25,1331318,0.62282,0.178088,0.126236,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F6_partial_mismatch,0.5,1331318,0.58235,0.119574,0.084258,0.0,3e-06,0.0,0.0,0.656095,True,collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,clean,0.0,1331318,0.661468,0.221392,0.18439,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F1_label_shift_plus1,1.0,1317291,0.648696,0.198039,0.165363,0.0,3e-06,0.0,0.190642,0.656095,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F2_label_shift_minus1,1.0,1318590,0.699296,0.280365,0.233965,0.0,3e-06,0.0,0.190642,0.656095,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F3_pred_shift,1.0,1317291,0.694453,0.270716,0.223324,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F4_within_learner_shuffle,1.0,1331318,0.601423,0.129379,0.106114,0.0,3e-06,0.0,0.0,0.656095,True,collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F5_row_index_mismatch,1.0,1331318,0.503381,0.003597,0.002964,0.0,3e-06,0.0,0.0,0.656095,True,near_random_auc|collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F6_partial_mismatch,0.01,1331318,0.659931,0.219195,0.182562,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F6_partial_mismatch,0.05,1331318,0.653591,0.210285,0.175102,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F6_partial_mismatch,0.1,1331318,0.646133,0.200006,0.166392,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F6_partial_mismatch,0.25,1331318,0.621745,0.166015,0.137951,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,simplekt,F6_partial_mismatch,0.5,1331318,0.581595,0.111155,0.092073,0.0,3e-06,0.0,0.0,0.656095,True,collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
