dataset,model,x,y,rho,CI_lo,CI_hi,p,n,sig
junyi,simplekt,difficulty_proxy,ECE,0.18806570565163286,0.14725104854153187,0.2286512340867778,1.7607200402533369e-22,2645,***
junyi,simplekt,median_sequence_position_train,ECE,0.045248609606145,0.0076095240401555875,0.08298891681561288,0.01995418775185975,2645,*
junyi,simplekt,n_train_items,ECE,0.01827232227150646,-0.01998297537575295,0.05497640391872672,0.3475399016333689,2645,
junyi,simplekt,n_train_learners,ECE,-0.24757046181415845,-0.2831915342597171,-0.21001235244405653,3.1209220969847465e-38,2645,***
xes3g5m,irt_1pl,log_train_freq,ECE,-0.29803998589057185,-0.3450638513455006,-0.2513172461682225,7.533829862159057e-30,1387,***
xes3g5m,irt_1pl,log_train_freq,REL,-0.27135895967543583,-0.3181526064743828,-0.22342165317050178,7.7651023021310995e-25,1387,***
xes3g5m,irt_1pl,difficulty_proxy,ECE,-0.34493459273766525,-0.4066871821346837,-0.2801498889360195,1.0330169711377905e-36,1267,***
xes3g5m,irt_1pl,median_sequence_position_train,ECE,0.11109594020802521,0.052711654985663846,0.1670268857071933,7.406861595158479e-05,1267,***
xes3g5m,irt_1pl,n_train_items,ECE,-0.300205961027489,-0.35053328431131275,-0.2553612549788706,8.440301500202007e-28,1267,***
xes3g5m,irt_1pl,n_train_learners,ECE,-0.25410059995328066,-0.30608434669583373,-0.2044117902382162,4.0407522578661457e-20,1267,***
xes3g5m,dkt,log_train_freq,ECE,-0.2826899016208438,-0.33577637756591666,-0.2289585295063479,7.953778690491962e-27,1383,***
xes3g5m,dkt,log_train_freq,REL,-0.2950248887347874,-0.34904178539341435,-0.238806922196976,3.5539320815946883e-29,1383,***
xes3g5m,dkt,difficulty_proxy,ECE,0.2515183275431382,0.1965459415477112,0.30778933694197663,1.125557086373515e-19,1263,***
xes3g5m,dkt,median_sequence_position_train,ECE,-0.0174193321810074,-0.07221830843191301,0.036764393982624065,0.5362493730515105,1263,
xes3g5m,dkt,n_train_items,ECE,-0.05606481335012089,-0.11130692852736661,-0.0011725841730978886,0.046363894586091046,1263,*
xes3g5m,dkt,n_train_learners,ECE,-0.1317205229776172,-0.1870040129184742,-0.07540097837784074,2.63982501183076e-06,1263,***
xes3g5m,simplekt,log_train_freq,ECE,-0.11646837704315116,-0.1707936299512035,-0.06279024950040438,1.4107785752174791e-05,1383,***
xes3g5m,simplekt,log_train_freq,REL,-0.14104764689129562,-0.19662188025228933,-0.0884453980835988,1.3868026101029464e-07,1383,***
xes3g5m,simplekt,difficulty_proxy,ECE,0.4087397739005633,0.35281615833184227,0.4683069969549403,4.815093108975003e-52,1263,***
xes3g5m,simplekt,median_sequence_position_train,ECE,-0.1357225040397565,-0.19398609390523636,-0.08045810151009151,1.2915932872147783e-06,1263,***
xes3g5m,simplekt,n_train_items,ECE,0.08870381900714638,0.035573200838418986,0.14343162505714907,0.0016021231752889483,1263,**
xes3g5m,simplekt,n_train_learners,ECE,0.07145816817563584,0.013074567499717927,0.12884279712928634,0.011076864831125223,1263,*
