dataset,model,role,tau,sparse_n,sparse_flag,dense_n,dense_flag,FM_sparse,FM_dense,dFM,Miss_sparse,Miss_dense,dMiss,UR_sparse,UR_dense,dUR
assist2012,gkt_train_only,secondary,0.7,444,L,528018,R,0.22009569377990432,0.20534390887133253,0.014751784908571791,0.233502538071066,0.4550348940569779,-0.2215323559859119,0.340080971659919,0.24383383640818093,0.09624713525173809
assist2012,gkt_train_only,secondary,0.8,444,L,528018,R,0.17567567567567569,0.16386426552315894,0.011811410152516744,0.1319796954314721,0.2474105268466742,-0.1154308314152021,0.5060728744939271,0.4578919584726377,0.04818091602128943
assist2012,cl4kt,secondary,0.5,444,L,528018,R,0.28044280442804426,0.2517670360681311,0.028675768359913145,0.38578680203045684,0.7244220573309041,-0.3386352553004473,0.21052631578947367,0.07550454120927462,0.13502177458019904
assist2012,cl4kt,secondary,0.6,444,L,528018,R,0.2599118942731278,0.22115908662588438,0.0387528076472434,0.29949238578680204,0.5474552870642971,-0.2479629012774951,0.31983805668016196,0.17211927611364528,0.1477187805665167
assist2012,cl4kt,secondary,0.7,444,L,528018,R,0.24,0.18518988288631094,0.05481011711368905,0.2436548223350254,0.3589769453357962,-0.11532212300077083,0.38461538461538464,0.3217639654028885,0.06285141921249615
assist2012,cl4kt,secondary,0.8,444,L,528018,R,0.20625,0.14078748320621184,0.06546251679378814,0.16751269035532995,0.1678003820379138,-0.00028769168258385713,0.48582995951417,0.5602512215920626,-0.07442126207789262
assist2012,gkt_full_log,ablation,0.5,444,L,528018,R,0.2945205479452055,0.2504380530011522,0.04408249494405331,0.4365482233502538,0.726243987315837,-0.28969576396558316,0.1659919028340081,0.0666062074473125,0.09938569538669562
assist2012,gkt_full_log,ablation,0.6,444,L,528018,R,0.24897959183673468,0.22107082897818978,0.027908762858544905,0.3096446700507614,0.5586831670060458,-0.2490384969552844,0.2550607287449393,0.15470702093964456,0.10035370780529473
assist2012,gkt_full_log,ablation,0.7,444,L,528018,R,0.17857142857142858,0.1848282996097362,-0.006256871038307632,0.17766497461928935,0.37171784671831953,-0.1940528720990302,0.3481781376518219,0.2960056308287876,0.05217250682303426
assist2012,gkt_full_log,ablation,0.8,444,L,528018,R,0.16101694915254236,0.1385229742708386,0.022493974881703765,0.09644670050761421,0.17276183151245406,-0.07631513100483985,0.5991902834008097,0.5386347947319265,0.06055548866888316
junyi,dkt,primary,0.5,0,empty,3264405,R,,0.23062441533703523,,,0.6347830956237518,,,0.11212910255066927,
junyi,dkt,primary,0.6,0,empty,3264405,R,,0.20422519438409573,,,0.4916803374736349,,,0.19674200228428526,
junyi,dkt,primary,0.7,0,empty,3264405,R,,0.17433444734756984,,,0.34657310373290806,,,0.311811893848125,
junyi,dkt,primary,0.8,0,empty,3264405,R,,0.13986996473692548,,,0.203271246093191,,,0.475908703370299,
junyi,simplekt,primary,0.5,0,empty,3264405,R,,0.21814935180032893,,,0.5679302571079555,,,0.14659294114987284,
junyi,simplekt,primary,0.6,0,empty,3264405,R,,0.19464073617217018,,,0.4409784080751435,,,0.2349944327611896,
junyi,simplekt,primary,0.7,0,empty,3264405,R,,0.17110731514000302,,,0.32460268245083174,,,0.3407150151974098,
junyi,simplekt,primary,0.8,0,empty,3264405,R,,0.14745763186016975,,,0.21863820097019523,,,0.4700119083694664,
xes3g5m,dkt,primary,0.5,2164,R,1573737,R,0.13177842565597667,0.1406981642932086,-0.008919738637231944,0.42401500938086306,0.28131605961863815,0.1426989497622249,0.08706315144083385,0.05311837474114981,0.033944776699684036
xes3g5m,dkt,primary,0.6,2164,R,1573737,R,0.12222887956860395,0.12584996151117686,-0.003621081942572907,0.3827392120075047,0.23858722284021933,0.1441519891672854,0.10177805027590435,0.08667797508927313,0.015100075186631215
xes3g5m,dkt,primary,0.7,2164,R,1573737,R,0.11488573193329216,0.11012044264199393,0.0047652892912982275,0.34896810506566606,0.19327412483859546,0.1556939802270706,0.1213979153893317,0.13924242767718364,-0.017844512287851944
xes3g5m,dkt,primary,0.8,2164,R,1573737,R,0.1091026468689477,0.09004617991546096,0.019056466953486742,0.3170731707317073,0.13837332827807725,0.17869984245363008,0.15389331698344574,0.2293622108787551,-0.07546889389530936
xes3g5m,simplekt,primary,0.5,2164,R,1573737,R,0.14186851211072665,0.15300088798337624,-0.011132375872649591,0.46153846153846156,0.3035246103935588,0.15801385114490274,0.08767627222562845,0.0739663487363774,0.013709923489251041
xes3g5m,simplekt,primary,0.6,2164,R,1573737,R,0.13368983957219252,0.14456452697653566,-0.010874687404343136,0.42213883677298314,0.2767842132936543,0.14535462347932881,0.10606989576946659,0.09736808127082752,0.008701814498639063
xes3g5m,simplekt,primary,0.7,2164,R,1573737,R,0.12130541871921183,0.1373257695534095,-0.016020350834197672,0.3696060037523452,0.2514906447955304,0.1181153589568148,0.12507664009809932,0.12931618211619947,-0.004239542018100145
xes3g5m,simplekt,primary,0.8,2164,R,1573737,R,0.11611675126903553,0.12815191806891027,-0.012035166799874736,0.3433395872420263,0.21966935763671547,0.12367022960531082,0.1459227467811159,0.1763759101029684,-0.030453163321852522
