dataset,model,role,tau,bucket,flag,n_kcs,n_events,mean_y,mean_p,n_advance,n_remediate,FM,Miss,UR,acc_at_tau,E_FM_calibrated,excess_FM
assist2012,irt_1pl,other,0.6,all,R,260,534150,0.697790882710849,0.6961533161397051,534150,0,0.302209117289151,1.0,0.0,0.697790882710849,0.30384668386029484,-0.0016375665711438336
assist2012,irt_1pl,other,0.6,dense,R,147,528018,0.6995878928369866,0.6961533161397051,528018,0,0.30041210716301336,1.0,0.0,0.6995878928369866,0.3038466838602949,-0.003434576697281533
assist2012,irt_1pl,other,0.6,medium,R,68,5677,0.5421877752333979,0.6961533161397052,5677,0,0.4578122247666021,1.0,0.0,0.5421877752333979,0.3038466838602948,0.15396554090630732
assist2012,irt_1pl,other,0.6,sparse,L,38,444,0.5563063063063063,0.6961533161397052,444,0,0.4436936936936937,1.0,0.0,0.5563063063063063,0.30384668386029473,0.13984700983339898
assist2012,irt_1pl,other,0.6,very_sparse,I,7,11,0.45454545454545453,0.6961533161397052,11,0,0.5454545454545454,1.0,0.0,0.45454545454545453,0.30384668386029484,0.24160786159425057
assist2012,irt_1pl,other,0.6,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,irt_1pl,other,0.7,all,R,260,534150,0.697790882710849,0.6961533161397051,0,534150,,0.0,1.0,0.302209117289151,,
assist2012,irt_1pl,other,0.7,dense,R,147,528018,0.6995878928369866,0.6961533161397051,0,528018,,0.0,1.0,0.30041210716301336,,
assist2012,irt_1pl,other,0.7,medium,R,68,5677,0.5421877752333979,0.6961533161397052,0,5677,,0.0,1.0,0.4578122247666021,,
assist2012,irt_1pl,other,0.7,sparse,L,38,444,0.5563063063063063,0.6961533161397052,0,444,,0.0,1.0,0.4436936936936937,,
assist2012,irt_1pl,other,0.7,very_sparse,I,7,11,0.45454545454545453,0.6961533161397052,0,11,,0.0,1.0,0.5454545454545454,,
assist2012,irt_1pl,other,0.7,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,irt_1pl,other,0.8,all,R,260,534150,0.697790882710849,0.6961533161397051,0,534150,,0.0,1.0,0.302209117289151,,
assist2012,irt_1pl,other,0.8,dense,R,147,528018,0.6995878928369866,0.6961533161397051,0,528018,,0.0,1.0,0.30041210716301336,,
assist2012,irt_1pl,other,0.8,medium,R,68,5677,0.5421877752333979,0.6961533161397052,0,5677,,0.0,1.0,0.4578122247666021,,
assist2012,irt_1pl,other,0.8,sparse,L,38,444,0.5563063063063063,0.6961533161397052,0,444,,0.0,1.0,0.4436936936936937,,
assist2012,irt_1pl,other,0.8,very_sparse,I,7,11,0.45454545454545453,0.6961533161397052,0,11,,0.0,1.0,0.5454545454545454,,
assist2012,irt_1pl,other,0.8,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_train_only,secondary,0.5,all,R,260,534150,0.697790882710849,0.7282759114996096,467237,66913,0.25560475732872184,0.7398358370760415,0.06684821248910054,0.7297687915379575,0.21873451146993905,0.03687024585878279
assist2012,gkt_train_only,secondary,0.5,dense,R,147,528018,0.6995878928369866,0.730242706491539,463577,64441,0.2554462365475423,0.7465436916462304,0.06561269102180593,0.7298273922479915,0.2185241651858736,0.036922071361668696
assist2012,gkt_train_only,secondary,0.5,medium,R,68,5677,0.5421877752333979,0.5552622927023042,3346,2331,0.27226539151225343,0.3505194305502116,0.20890188434048082,0.7262638717632552,0.2464765143194957,0.025788877192757742
assist2012,gkt_train_only,secondary,0.5,sparse,L,38,444,0.5563063063063063,0.6057191144272283,309,135,0.31715210355987056,0.49746192893401014,0.145748987854251,0.6981981981981982,0.23478904646191395,0.0823630570979566
assist2012,gkt_train_only,secondary,0.5,very_sparse,I,7,11,0.45454545454545453,0.5564917082136328,5,6,0.0,0.0,0.0,1.0,0.16395580768585205,-0.16395580768585205
assist2012,gkt_train_only,secondary,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_train_only,secondary,0.6,all,R,260,534150,0.697790882710849,0.7282759114996096,418837,115313,0.23269672927654433,0.6037602601827474,0.13776913273861427,0.721404099971918,0.19168235433353628,0.04101437494300805
assist2012,gkt_train_only,secondary,0.6,dense,R,147,528018,0.6995878928369866,0.730242706491539,415834,112184,0.23265533842831515,0.6099115512882747,0.13618754991269508,0.7215000246203728,0.19162392652092036,0.04103141190739479
assist2012,gkt_train_only,secondary,0.6,medium,R,68,5677,0.5421877752333979,0.5552622927023042,2737,2940,0.23529411764705882,0.24778761061946902,0.32001299545159195,0.7130526686630263,0.20039204576392655,0.03490207188313227
assist2012,gkt_train_only,secondary,0.6,sparse,L,38,444,0.5563063063063063,0.6057191144272283,261,183,0.27586206896551724,0.36548223350253806,0.23481781376518218,0.7072072072072072,0.19396771187983253,0.08189435708568471
assist2012,gkt_train_only,secondary,0.6,very_sparse,I,7,11,0.45454545454545453,0.5564917082136328,5,6,0.0,0.0,0.0,1.0,0.16395580768585205,-0.16395580768585205
assist2012,gkt_train_only,secondary,0.6,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_train_only,secondary,0.7,all,R,260,534150,0.697790882710849,0.7282759114996096,353792,180358,0.2052759813675832,0.4498993340560632,0.24564491246897846,0.6926275390807826,0.1633488808161486,0.041927100551434615
assist2012,gkt_train_only,secondary,0.7,dense,R,147,528018,0.6995878928369866,0.730242706491539,351503,176515,0.20534390887133253,0.4550348940569779,0.24383383640818093,0.6927188088284869,0.16341041543583626,0.041933493435496266
assist2012,gkt_train_only,secondary,0.7,medium,R,68,5677,0.5421877752333979,0.5552622927023042,2075,3602,0.1927710843373494,0.15390534821085033,0.4558154645873944,0.682402677470495,0.15354315634233406,0.039227927995015344
assist2012,gkt_train_only,secondary,0.7,sparse,L,38,444,0.5563063063063063,0.6057191144272283,209,235,0.22009569377990432,0.233502538071066,0.340080971659919,0.7072072072072072,0.15719692016902723,0.06289877361087709
assist2012,gkt_train_only,secondary,0.7,very_sparse,I,7,11,0.45454545454545453,0.5564917082136328,5,6,0.0,0.0,0.0,1.0,0.16395580768585205,-0.16395580768585205
assist2012,gkt_train_only,secondary,0.7,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_train_only,secondary,0.8,all,R,260,534150,0.697790882710849,0.7282759114996096,241041,293109,0.16368169730460794,0.2444107170512622,0.4591535314239721,0.6057437049517925,0.12498284250870098,0.038698854795906956
assist2012,gkt_train_only,secondary,0.8,dense,R,147,528018,0.6995878928369866,0.730242706491539,239497,288521,0.16386426552315894,0.2474105268466742,0.4578919584726377,0.6053392119208058,0.1250899579155993,0.03877430760755965
assist2012,gkt_train_only,secondary,0.8,medium,R,68,5677,0.5421877752333979,0.5552622927023042,1393,4284,0.13137114142139267,0.07041169680646403,0.6068875893437297,0.6387176325524044,0.10699205170067967,0.024379089720712996
assist2012,gkt_train_only,secondary,0.8,sparse,L,38,444,0.5563063063063063,0.6057191144272283,148,296,0.17567567567567569,0.1319796954314721,0.5060728744939271,0.6599099099099099,0.12093650891974166,0.05473916675593403
assist2012,gkt_train_only,secondary,0.8,very_sparse,I,7,11,0.45454545454545453,0.5564917082136328,3,8,0.0,0.0,0.4,0.8181818181818182,0.12705296277999878,-0.12705296277999878
assist2012,gkt_train_only,secondary,0.8,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,cl4kt,secondary,0.5,all,R,260,534150,0.697790882710849,0.7020075933719684,459844,74306,0.2518767234105479,0.7175096794176863,0.0770138842310014,0.7294224468782178,0.24571357855407044,0.006163144856477454
assist2012,cl4kt,secondary,0.5,dense,R,147,528018,0.6995878928369866,0.7039861395287434,456414,71604,0.2517670360681311,0.7244220573309041,0.07550454120927462,0.7295527803976379,0.24577120876304628,0.005995827305084828
assist2012,cl4kt,secondary,0.5,medium,R,68,5677,0.5421877752333979,0.5286114927821264,3151,2526,0.26499523960647414,0.32127741439015006,0.2475633528265107,0.7186894486524573,0.24181922453995622,0.023176015066517924
assist2012,cl4kt,secondary,0.5,sparse,L,38,444,0.5563063063063063,0.5670194645959733,271,173,0.28044280442804426,0.38578680203045684,0.21052631578947367,0.7117117117117117,0.19649587940026034,0.08394692502778392
assist2012,cl4kt,secondary,0.5,very_sparse,I,7,11,0.45454545454545453,0.6653173767368902,8,3,0.375,0.5,0.0,0.7272727272727273,0.15894754976034164,0.21605245023965836
assist2012,cl4kt,secondary,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,cl4kt,secondary,0.6,all,R,260,534150,0.697790882710849,0.7020075933719684,395422,138728,0.22118142136755162,0.5417995973362243,0.173755449728352,0.715018253299635,0.2121806327782685,0.009000788589283104
assist2012,cl4kt,secondary,0.6,dense,R,147,528018,0.6995878928369866,0.7039861395287434,392654,135364,0.22115908662588438,0.5474552870642971,0.17211927611364528,0.7151252419425095,0.21236381977774543,0.008795266848138944
assist2012,cl4kt,secondary,0.6,medium,R,68,5677,0.5421877752333979,0.5286114927821264,2534,3143,0.22099447513812154,0.21546748749519046,0.3586744639376218,0.7068874405495861,0.19017141610501598,0.03082305903310556
assist2012,cl4kt,secondary,0.6,sparse,L,38,444,0.5563063063063063,0.5670194645959733,227,217,0.2599118942731278,0.29949238578680204,0.31983805668016196,0.6891891891891891,0.14398161193872863,0.11593028233439914
assist2012,cl4kt,secondary,0.6,very_sparse,I,7,11,0.45454545454545453,0.6653173767368902,7,4,0.2857142857142857,0.3333333333333333,0.0,0.8181818181818182,0.11552701677594866,0.17018726893833702
assist2012,cl4kt,secondary,0.6,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,cl4kt,secondary,0.7,all,R,260,534150,0.697790882710849,0.7020075933719684,309601,224549,0.18518028042545082,0.3551618398637138,0.3231766047353947,0.66715716559019,0.17488470745400247,0.010295572971448341
assist2012,cl4kt,secondary,0.7,dense,R,147,528018,0.6995878928369866,0.7039861395287434,307479,220539,0.18518988288631094,0.3589769453357962,0.3217639654028885,0.6670568048816518,0.1751496382185244,0.010040244667786552
assist2012,cl4kt,secondary,0.7,medium,R,68,5677,0.5421877752333979,0.5286114927821264,1916,3761,0.1779749478079332,0.13120430934974991,0.48830409356725146,0.6751805531090365,0.13885461571694416,0.03912033209098903
