AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,kc_id,dataset,model,level,seed
0.5238256549232159,0.45194274028629855,1.2274719180183071,0.6244876362865937,0.38296559333774133,0.3899848078748168,0.21283080375976252,0.007854652258314011,489,103,xes3g5m,dkt,t100,42
0.4703939039502809,0.7568179246350571,0.8418800610655788,0.4502436149921705,0.18889759028739567,0.20271931284121789,0.05933747856757156,0.0004051904633004729,8837,104,xes3g5m,dkt,t100,42
0.4666595350164028,0.5937961595273265,1.2863681142681802,0.5752913468004751,0.3234137216221096,0.3309601337035046,0.15538059275555885,0.008247971774195763,677,105,xes3g5m,dkt,t100,42
0.6203816518153743,0.8999509563511525,0.5447829628668917,0.30339709953955085,0.0831362448125491,0.09204980000901213,0.009877386521905234,0.0015022925141473281,8156,106,xes3g5m,dkt,t100,42
0.6076634972236589,0.7321428571428571,1.2913420439950454,0.4866088723082719,0.22076262290953436,0.23678819460912803,0.05285412786217239,0.009764870192499525,952,107,xes3g5m,dkt,t100,42
0.5995151103738603,0.7790049650420509,0.6604851227801559,0.4181015754204934,0.14104092742295382,0.17480892736909856,0.03259203790452215,0.0024708528427047384,9869,108,xes3g5m,dkt,t100,42
0.4621413465843929,0.7358384111938614,0.8317290319122935,0.4625361323949575,0.18533306680242434,0.21393967377088566,0.054219804091723015,0.0005768301982908843,8862,109,xes3g5m,dkt,t100,42
0.5968563942354265,0.7655526992287918,0.6529170035437392,0.42511745394399864,0.1342671966176689,0.18072484964782778,0.04218855454648719,0.003400204716579118,3890,11,xes3g5m,dkt,t100,42
0.676076076076076,0.8820754716981132,0.7712433678017188,0.3345863229343665,0.1108048382513928,0.1119480074947402,0.02120016599066304,0.0204116717401223,212,110,xes3g5m,dkt,t100,42
0.580920740389179,0.7048611111111112,0.8083033370125847,0.4710375405188332,0.21313747904463923,0.2218763645780314,0.10541248758412491,0.01159159016017007,288,111,xes3g5m,dkt,t100,42
0.48716402620327376,0.44712148110575706,1.3116553300762066,0.6397951556487758,0.40559409963742177,0.4093378411916412,0.23500591657056943,0.0009399264669872652,3943,112,xes3g5m,dkt,t100,42
0.5932734730920952,0.5924516333650491,1.06821386770194,0.5568076424134796,0.2920587315125866,0.31003475065005737,0.13464051096794585,0.0038421886846493605,3153,114,xes3g5m,dkt,t100,42
0.9906783206006032,0.9625668449197861,0.10293183862107316,0.17041830164303043,0.015556401808649837,0.029042397534894907,0.0019554757641018247,0.1533987868818848,1122,115,xes3g5m,dkt,t100,42
0.5356120376843436,0.6357541899441341,1.7117697548223336,0.5774213084467319,0.3183547224503468,0.3334153674483359,0.11167307231325871,0.003097322181573786,895,116,xes3g5m,dkt,t100,42
0.5526358849736734,0.7857496288965858,0.7883163641083994,0.4266569435466331,0.1647742123378534,0.18203614747655486,0.03377052818724122,0.0020110928435814646,2021,117,xes3g5m,dkt,t100,42
0.6172567973643243,0.6890502117362372,1.243534429722635,0.5148099377124354,0.24125333892615192,0.2650292719674816,0.07209606223975386,0.008906492116178754,1653,118,xes3g5m,dkt,t100,42
0.6504240255274352,0.7968833960236432,0.6488934001958432,0.4042248053581256,0.1317872987825816,0.16339769326681455,0.03056782118340942,0.005294775872419545,3722,121,xes3g5m,dkt,t100,42
0.7094654088050315,0.8470254957507082,0.7552526856124133,0.373761481725426,0.13428051208301578,0.13969764522158595,0.020760997695173613,0.007088118229281806,353,129,xes3g5m,dkt,t100,42
0.6387504358964042,0.7897858319604613,0.6643803990672816,0.40934984063606805,0.14196378786593292,0.16756729202877432,0.04334480064108394,0.0050277144600994845,3035,131,xes3g5m,dkt,t100,42
0.5311517884989084,0.8726708074534162,0.744628142793977,0.34099637887811746,0.10646331525459789,0.11627853040798863,0.016351174752379318,0.0006541832638689872,644,137,xes3g5m,dkt,t100,42
