AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,n_pos,n_neg,kc_id,dataset,model,level,seed
0.5934678462832373,0.7002017145738779,0.6261241739642702,0.4576612130544184,0.10775980667764837,0.20945378593444178,0.018203169174810026,0.005407253596738221,3966,2900,1066,18,assist2012,dkt,full,42
0.5111818006554848,0.5687022900763359,0.8021743030034064,0.5268659851438212,0.18007620381376213,0.2775877663015693,0.06371866599362304,0.013126279536925913,262,171,91,181,assist2012,dkt,full,42
0.5137387387387388,0.625,0.7309486042315514,0.5050450097225648,0.20587899869021314,0.2550704618456656,0.07528788980858671,0.024180146776300624,104,74,30,192,assist2012,dkt,full,42
0.5678879310344828,0.5792349726775956,0.8705139421846738,0.5388136552338884,0.2076667584039912,0.2903201550665035,0.07550829339391815,0.034150492932795366,183,87,96,203,assist2012,dkt,full,42
0.7220871335320624,0.7005297600498598,0.6027901757514408,0.45165851520897604,0.06495644249098627,0.20399541436077687,0.005932168416921498,0.03344511536702011,3209,2038,1171,21,assist2012,dkt,full,42
0.6283739959087961,0.5855421686746988,0.7447996520772264,0.5089845261591791,0.174627800595509,0.2590652478694841,0.053999663214262056,0.02775948624036132,415,262,153,217,assist2012,dkt,full,42
0.7162464776055213,0.7417043740573153,0.552743714613823,0.4246877338973571,0.06260057452287902,0.18035967132287237,0.005199106556245391,0.02782453280189333,2652,1901,751,22,assist2012,dkt,full,42
0.8023548387096774,0.8491803278688524,0.38752006151871865,0.34348476017317947,0.07001623437622861,0.11798178047122664,0.01041863563382431,0.02084687292116471,915,775,140,24,assist2012,dkt,full,42
0.6033049864708155,0.6084507042253521,0.7755074598025531,0.5148154610896992,0.17989697629507154,0.2650349589769996,0.04616729886384085,0.02721000291525006,355,199,156,240,assist2012,dkt,full,42
0.6858637173952249,0.8027105517909003,0.4775071898463295,0.38525428409990925,0.05553697698568382,0.1484208634173336,0.005568616063951032,0.012295252058482213,5165,4174,991,25,assist2012,dkt,full,42
0.6596481526774922,0.7835365853658537,0.5326081881457977,0.4028170336495406,0.08443305135715934,0.1622615625982151,0.011823575205874442,0.013724473136096888,1312,1041,271,26,assist2012,dkt,full,42
0.6749803119013902,0.7142181588902901,0.5948347918816608,0.44644054377789694,0.06197745935089445,0.1993091591287043,0.00546526995138215,0.019666316901972278,6344,4385,1959,27,assist2012,dkt,full,42
0.6940383479129378,0.7178720445062587,0.5705244310040777,0.43832616358343973,0.022458148449503917,0.19212982568177636,0.0010009391974481227,0.024412465075314527,28760,19702,9058,280,assist2012,dkt,full,42
0.641755634638197,0.6682464454976303,0.6656871821333918,0.47324145424479563,0.11419792919115151,0.22395747401572902,0.02016154802172099,0.019104580474549392,422,281,141,287,assist2012,dkt,full,42
0.7897026431718062,0.7654723127035831,0.5234010239071849,0.4000784835761071,0.12965000075279018,0.1600627930205574,0.03016378239233703,0.06245689192156017,307,227,80,290,assist2012,dkt,full,42
0.6060191141103863,0.6073667711598746,0.7337485909998938,0.5067286385645561,0.12010184429915473,0.2567739131414885,0.021467532705511858,0.01010832944334895,2552,1458,1094,294,assist2012,dkt,full,42
0.5861332674345106,0.6374045801526718,0.6865089758373204,0.4871410779055998,0.11374081411036369,0.23730642978302963,0.02126211524795969,0.006462207947120827,2096,1393,703,1,assist2012,dkt,full,2024
0.7025967876590283,0.6585365853658537,0.6458380265692166,0.47082544156559064,0.08092258562324145,0.2216765964254334,0.013329421968853948,0.034304858181720826,574,333,241,101,assist2012,dkt,full,2024
0.6542854507582454,0.780362959516054,0.5517178242445784,0.41582285292235505,0.09839656069812361,0.1729086450124865,0.015997390619002457,0.012225969499647785,2149,1686,463,103,assist2012,dkt,full,2024
0.7603976977107182,0.782258064516129,0.4909920820577847,0.39298904355695574,0.1009757819360182,0.15444038835581086,0.02012539899506159,0.024815005266818436,620,496,124,105,assist2012,dkt,full,2024
0.6179860945727819,0.7394757744241461,0.6062259522149103,0.4426803198849884,0.09806196898150957,0.19596586561347565,0.015732545070647634,0.011042485725264499,1259,936,323,106,assist2012,dkt,full,2024
0.6013658822831709,0.6553156146179402,0.7188926058115798,0.4909673914079135,0.14568117708184347,0.24104897942589135,0.027581043239048725,0.008240231961170696,1204,807,397,11,assist2012,dkt,full,2024
0.4920515764373399,0.8123456790123457,0.6718286696699808,0.3992099456803091,0.14209963348176746,0.15936858073007534,0.025255610495846008,0.005220268312771721,405,338,67,110,assist2012,dkt,full,2024
0.6577229302734106,0.6488333726137168,0.6462176791444879,0.47369858730769265,0.07033495114725097,0.22439035161730372,0.0071817364300949356,0.018935268391259894,4243,2621,1622,12,assist2012,dkt,full,2024
0.6399738182724117,0.68675,0.625496750723352,0.46066952080832785,0.0686100587854162,0.21221640740177442,0.006983793986416827,0.013684220734087293,4000,2707,1293,13,assist2012,dkt,full,2024
0.6308785428279815,0.7924528301886793,0.5375878047825022,0.39580639006129326,0.12560452354497878,0.15666269841335262,0.04029423697982799,0.00950479096348826,318,271,47,14,assist2012,dkt,full,2024
0.6883165515772822,0.7712396694214876,0.527491248024531,0.40936173039028284,0.07101542105728934,0.16757702630812663,0.007735380882115378,0.01953345861726621,3025,2315,710,15,assist2012,dkt,full,2024
0.6887712092615923,0.7341944255608429,0.5753448698696372,0.43190704244168865,0.0894995819255558,0.18654369331072662,0.011500288156508129,0.0215512861552143,1471,1073,398,16,assist2012,dkt,full,2024
0.6197172034564022,0.5723793677204659,0.7418372794786426,0.5106182176335933,0.15267435262931164,0.2607309641793076,0.03427953964906638,0.020618932701259102,601,335,266,166,assist2012,dkt,full,2024
0.6267937948092509,0.5817139216310927,0.731678277005345,0.5085256967566055,0.13486029070392747,0.2585983842617911,0.025529848131863025,0.016329614869478905,3139,1487,1652,17,assist2012,dkt,full,2024
0.6271235765219242,0.7263045793397231,0.5827722540597672,0.44020097624252424,0.07708944863995837,0.1937768994848714,0.010012934919360244,0.007877093997993526,3756,2784,972,18,assist2012,dkt,full,2024
0.5578373015873016,0.6129032258064516,0.7658772086903628,0.5125178968948586,0.15800614982482888,0.26267459463752896,0.05557147785074529,0.011443677018035992,372,252,120,181,assist2012,dkt,full,2024
0.6194523979957051,0.7368421052631579,0.6337509849740256,0.4563976783078296,0.17533769279892683,0.20829884076477714,0.0456243889176058,0.026971711535307974,171,127,44,192,assist2012,dkt,full,2024
0.583373552123552,0.5426008968609866,0.8457672757524287,0.5325734808993221,0.1890372862536126,0.28363451255722055,0.050781058051506116,0.01736397116107834,223,112,111,203,assist2012,dkt,full,2024
0.7045452472496633,0.6971770744225834,0.6105250674580365,0.45584574244579734,0.055430331123216846,0.20779534090596022,0.004735289517268382,0.028417733308639247,3507,2227,1280,21,assist2012,dkt,full,2024
0.5867604617604617,0.578125,0.825615882075254,0.5293976618187024,0.1998123274097452,0.28026188433910915,0.06451077086679834,0.009803711842583796,384,252,132,217,assist2012,dkt,full,2024
0.7274239879302271,0.758547761720127,0.5426022770357803,0.41798594181510224,0.06832668355150379,0.17471224755505801,0.0061421631198304875,0.03209146615583172,2837,2049,788,22,assist2012,dkt,full,2024
