dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,dkt,2025,2,sparse,37,402,0.7471041941150636,0.7313432835820896,0.9950505447975089,0.48223055109191587,0.2145355896540318,0.23254630440641288,0.2254399643573179,0.055212661520531454,0.04807597270886619
assist2012,dkt,2025,2,very_sparse,7,21,0.9363636363636364,0.8095238095238095,0.7033229507285597,0.43192079928113447,0.21645460665396452,0.18655557685165405,0.2494331065759637,0.08690709435841683,0.147701504844362
assist2012,dkt,2025,2,strict_cold_start,1,4,,1.0,0.6043561981180772,0.45360522269681636,0.4534188136458397,0.20575769805782834,0.0,0.2057019169375756,0.0
assist2012,simplekt,2025,2,dense,145,521520,0.6820250419405874,0.698801579996932,0.6946412713959116,0.4607353417224686,0.11849107196657076,0.21227705511211994,0.20998619301031424,0.02110012257421452,0.018642369702383258
assist2012,simplekt,2025,2,medium,70,6734,0.739034392533658,0.6790911790911791,0.8091332439288789,0.4858224389947151,0.15865247702395302,0.2360234422307737,0.2498759558456618,0.029427714627329946,0.04247233505238653
assist2012,simplekt,2025,2,sparse,37,402,0.7245553359683794,0.7039800995024875,1.0398594564471617,0.48832367569788476,0.21085249155789054,0.23846001224709293,0.2254399643573179,0.051937076256072544,0.037658475201719305
assist2012,simplekt,2025,2,very_sparse,7,21,0.9363636363636363,0.8095238095238095,0.5158428466527665,0.40978585873901235,0.20613921877243446,0.16792445002246978,0.2494331065759637,0.06901627753575174,0.1436130007558579
assist2012,simplekt,2025,2,strict_cold_start,1,4,,0.5,0.786903105635586,0.5432790104031872,0.5383344814181328,0.29515208314466634,0.0,0.29515208314466634,0.0
assist2012,irt_1pl,2026,3,dense,145,521520,0.5,0.7000345144960883,0.6108691416422175,0.458258198857615,0.0037925993607441644,0.21000057682022538,0.20998619301031424,1.4383809911117045e-05,0.0
assist2012,irt_1pl,2026,3,medium,70,6734,0.5,0.5111375111375112,0.7675527018305605,0.5330474615126264,0.18510440399783312,0.2841395962250549,0.2498759558456618,0.03426364037939302,0.0
assist2012,irt_1pl,2026,3,sparse,37,402,0.5,0.6567164179104478,0.6468000112322273,0.47644750947842435,0.0395254972248964,0.22700222928819325,0.2254399643573179,0.001562264930875293,0.0
assist2012,irt_1pl,2026,3,very_sparse,7,21,0.5,0.5238095238095238,0.7570417036415964,0.5283616528045016,0.17243239132582044,0.27916603615430474,0.2494331065759637,0.029732929578340877,0.0
assist2012,irt_1pl,2026,3,strict_cold_start,1,4,,0.0,1.1915236678432282,0.6962419151353444,0.6962419151353444,0.4847528043913321,0.0,0.4847528043913321,0.0
assist2012,dkt,2026,3,dense,145,521520,0.6974099884859657,0.7194834330418776,0.5816866955982748,0.4392032374777745,0.06108696642547179,0.1928994838109584,0.20998619301031424,0.00544909853235911,0.022354964000542002
assist2012,dkt,2026,3,medium,70,6734,0.7341994538200473,0.6700326700326701,0.9346403152888757,0.5028008446990729,0.19466508027434445,0.25280868943010126,0.2498759558456618,0.04329730763962845,0.03888156475240381
assist2012,dkt,2026,3,sparse,37,402,0.740818511198946,0.7238805970149254,1.346921101641067,0.4930941003507936,0.23091347147431884,0.24314179180075854,0.2254399643573179,0.061570479329390186,0.04308969927240883
assist2012,dkt,2026,3,very_sparse,7,21,0.9636363636363636,0.8571428571428571,0.31070346633645024,0.3093393856375745,0.15569185261154503,0.09569085550663203,0.2494331065759637,0.056110730057686006,0.20710506424792138
assist2012,dkt,2026,3,strict_cold_start,1,4,,0.0,0.7982651641206713,0.5497929278239453,0.5493345111608505,0.30227226348522596,0.0,0.302063280094574,0.0
assist2012,simplekt,2026,3,dense,145,521520,0.6854224182961114,0.7043737536431968,0.7008673014407028,0.45688770275165796,0.1043064774460833,0.20874637292568735,0.20998619301031424,0.017942881205694393,0.019098363743229388
assist2012,simplekt,2026,3,medium,70,6734,0.7314634795108386,0.6673596673596673,0.8474316343286332,0.4886558388683535,0.16093036912145758,0.2387845288601343,0.2498759558456618,0.029862087699194715,0.040734852520995936
assist2012,simplekt,2026,3,sparse,37,402,0.7197655906895037,0.7014925373134329,1.1082773784691482,0.4911158822984957,0.2150980808470196,0.24119480984582986,0.2254399643573179,0.055370709664743605,0.03887241361066267
assist2012,simplekt,2026,3,very_sparse,7,21,0.8363636363636364,0.8571428571428571,1.0221827564845813,0.4060115105367169,0.21889785388400654,0.16484534668830658,0.2494331065759637,0.055174041047074206,0.13832199546485263
assist2012,simplekt,2026,3,strict_cold_start,1,4,,0.25,0.707332009319214,0.5070436471372913,0.5064845755696297,0.25709326010228595,0.0,0.2565266252899479,0.0
assist2012,irt_1pl,2027,4,dense,146,509574,0.5,0.6988739613873549,0.6118350221619664,0.4587564131749292,0.00288082401849421,0.21045744662912638,0.21044914748210086,8.299147025533129e-06,0.0
assist2012,irt_1pl,2027,4,medium,68,5918,0.5,0.5354849611355188,0.7471684195034087,0.5239309994369146,0.1605081762333418,0.2745036921709642,0.24874081753321073,0.02576287463775351,0.0
