dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_runs
assist2012,simplekt,sparse,38.2,412.6,0.7178242752907135,0.6975081008261445,1.1305080743759273,0.49988071694301883,0.22502064677803713,0.24998684998818882,0.2320267024726868,0.05821130294139443,0.0390497946218644,1.303840481040529,28.49210416940104,0.01970139332424595,0.00984770999907131,0.08386643242311458,0.011517313962153003,0.018425540401132746,0.011545658128318714,0.011763323744283178,0.009466805452871903,0.0076873611422149405,5
assist2012,simplekt,strict_cold_start,1.0,4.0,,0.375,0.7471175574774,0.5251613287702392,0.5224095284938812,0.27612267162347615,0.0,0.2758393542173071,0.0,0.0,0.0,,0.1767766952966369,0.05626526179175455,0.025622271084072862,0.02252128440562963,0.02691165185724601,0.0,0.027312323175506584,0.0,2
assist2012,simplekt,very_sparse,6.6,17.4,0.8389393939393939,0.7754911754911755,0.8824265466698685,0.4521999479773896,0.23860103332803506,0.2064659667223915,0.2465839189115912,0.08059747645862927,0.12006969239736473,0.547722557505166,4.979959839195493,0.0620370827222762,0.05902443818508668,0.2426163538119114,0.04976411573158918,0.0468187207772149,0.045826763951515415,0.005570841175210478,0.03193088212395813,0.026738079608003756,5
junyi,dkt,dense,1296.2,3229730.2,0.7318973643542955,0.7341420306022755,0.5440091395108266,0.42490687368578905,0.0389456192907464,0.18054662243739109,0.20792488090456293,0.0022201360987937225,0.029361738750156102,4.604345773288565,40901.16897106981,0.0012379808823453472,0.0015213713998402892,0.002667824995585515,0.0009817917039776215,0.0019059070807771368,0.0008342745946059103,0.0007022119957056257,0.00017695950943708282,0.0002520541105662534,5
junyi,dkt,medium,29.8,3366.6,0.5964833860305113,0.5788024651195858,1.0876891311135126,0.5583622467115339,0.2569804987947965,0.31192479056962125,0.24304818013488888,0.07746865574686254,0.008121357112519451,4.604345773288536,1366.3703011994955,0.03318304233905491,0.01949529003873488,0.07687902472096399,0.01398177460434438,0.022689448083959556,0.015667083070338948,0.0011935241220420079,0.013090277428429161,0.0036005416438293814,5
junyi,irt_1pl,dense,1296.2,3229730.2,0.5,0.7051165256938592,0.6064786211868908,0.4559953789932102,0.0021748843306875544,0.2079322475524708,0.20792488090456293,7.366647907870705e-06,0.0,4.604345773288565,40901.16897106981,0.0,0.0017065984872975267,0.0014696607565263667,0.0007598431659102453,0.001815394604487016,0.0006925503105446824,0.0007022119957056257,9.714774939442713e-06,0.0,5
junyi,irt_1pl,medium,29.8,3366.6,0.5,0.5830984853817913,0.71157446395073,0.5073938088090494,0.11984315598138044,0.25745572480454904,0.24304818013488888,0.014407544669660108,0.0,4.604345773288536,1366.3703011994955,0.0,0.0076208261005071,0.006499090820324504,0.00300989758854458,0.0075135406169980715,0.003065939724146362,0.0011935241220420079,0.0018733922617528427,0.0,5
junyi,simplekt,dense,1296.2,3234482.0,0.7227581194251155,0.7271990259024159,0.6099359407303047,0.43440351943959304,0.08035727546562502,0.18871725243580312,0.20786605250008736,0.008742660296874727,0.027744971562706743,4.604345773288565,43896.57920043427,0.00345405633293673,0.0031836345226280687,0.021593647087045222,0.003680138295333246,0.0068195588373978775,0.0032077922891841607,0.0006469173610480271,0.002081903001037974,0.0008733302463767292,5
junyi,simplekt,medium,29.8,3520.4,0.679874511400312,0.638771389078253,0.6947340085957177,0.48324910714883484,0.11136059361373556,0.23363682588955131,0.24183321767809934,0.01619015575931444,0.024604170778775337,4.604345773288536,1255.6585124945395,0.02570837327609424,0.020530510475477173,0.031809961465301816,0.011571858612881847,0.01721882216329345,0.01122091235917427,0.0033602259778008803,0.00507899986916427,0.005981531644659408,5
xes3g5m,dkt,dense,497.8,1268860.0,0.816806901388919,0.8321670599581988,0.3923074804768677,0.3497472044675397,0.03887865562638323,0.12232990402996993,0.16169137944237058,0.002722774160741505,0.04155142791706282,0.8366600265340751,1773.5496891827052,0.002492600247965469,0.0029473701583523073,0.007301967161944663,0.002914832137304921,0.002289825991170498,0.0020387232511109403,0.0019858745350696595,0.0003428550398337001,0.0005020896641793461,5
